datetime,distance (km),moving time ,elevation (m),avg power(W),Energy output (kJ),avg speed (km/h),HR,calories,bike,
5/26/2018 7:46,16.51,0:47:07,277,222,627,21,169,699,DT_M,
5/26/2018 15:24,16.29,0:55:19,266,171,568,17.7,159,633,DT_M,
6/1/2018 7:47,16.47,0:47:56,214,210,603,20.6,163,672,DT_M,
6/1/2018 17:46,18.26,1:03:38,279,154,587,17.2,147,655,DT_M,
6/5/2018 18:52,18.83,0:55:14,285,205,680,20.5,162,758,DT_M,
6/6/2018 7:28,15.65,0:46:06,247,204,566,20.4,166,631,DT_M,
6/8/2018 7:48,16.52,0:50:36,325,129,393,19.6,156,438,DT_R,
6/8/2018 18:48,19.48,1:00:14,275,112,405,19.4,157,451,DT_R,
6/14/2018 7:26,14.3,0:42:02,219,207,523,20.5,166,583,DT_M,
6/14/2017 18:20,14.7,0:42:54,222,204,527,20.6,162,588,DT_M,
6/20/2018 7:00,7,0:24:00,108,170,244,17.7,121,273,DT_M,
6/21/2018 8:00,14.3,0:38:21,199,226,520,22.4,165,581,DT_M,
6/21/2018 17:24,14.8,0:41:58,173,214,538,21.1,164,600,DT_M,
7/2/2018 20:08,14.1,0:43:04,200,188,487,19.6,159,543,DT_M,
7/4/2018 8:28,101.74,5:28:20,793,173,3398,18.6,153,3789,DT_M,
7/13/2018 7:55,16.52,0:51:00,243,228,793,19.3,159,492,DT_M,crash
7/18/2018 7:41,16.44,0:47:28,221,132,376,20.8,163,508,DT_M,
7/18/2018 17:30,16.44,0:51:09,175,111,341,19.3,152,473,DT_M,
7/20/2018 7:45,15.36,0:43:22,207,241,627,21.3,153,399,DT_M,nail
8/8/2018 18:42,16.74,0:53:28,192,98,314,18.8,139,348,DT_R,
8/10/2018 7:22,16.45,0:48:03,213,115,332,20.5,146,360,DT_R,
8/10/2018 17:12,16.5,0:50:44,186,106,323,19.5,150,377,DT_R,
